year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP,Pennsylvania State University,"University Park, Pennsylvania",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"40,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Pitzer College,"Claremont, California",To support an intercollegiate media studies program,"500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Pomona College,"Claremont, California",To support an arts-based campus culture,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Pomona College,"Claremont, California",To provide staff support for community-based research and learning and workshops for faculty and staff,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support a Distinguished Achievement Award,"1,500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support renewal of an Emeritus Fellowship,"30,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support an Emeritus Fellowship,"29,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Reed College,"Portland, Oregon",To support planning for a teaching and learning center,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes College,"Memphis, Tennessee","To support an interdisciplinary center focusing on the social, cultural, and economic changes in the Mid-South region","250,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes University,"Grahamstown, South Africa",To support leading humanities scholars in an effort to promote research and postgraduate development,"800,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes University,"Grahamstown, South Africa",To support the Women's Academic Solidarity Association and its research program,"95,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Rice University,"Houston, Texas",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Rice University,"Houston, Texas","Global Economics and Local Communities""","170,600"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Robert W. Woodruff Library of the,"Atlanta, Georgia",To support a collaborative program designed to increase the number of historically black college and university students entering graduate library and information science programs,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Robert W. Woodruff Library of the,"Atlanta, Georgia","To support the documentation, publication, and, preservation of the oral histories, experiences, and perspectives of former historically black college and university presidents","46,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Rutgers, The State University of New Jersey","New Brunswick, New Jersey",To support doctoral programs in the humanities,"3,500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Rutgers, The State University of New Jersey","New Brunswick, New Jersey",To support a New Directions Fellowship,"217,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Rutgers, The State University of New Jersey","New Brunswick, New Jersey","To support a Sawyer Seminar on the Comparative Study of Cultures, entitled ""Race, Place, and Space in the Americas: New Questions and Comparative Analysis""","175,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Saint Augustine's College,"Raleigh, North Carolina",To support renewal of a bridge program to enhance student learning and retention,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Sarah Lawrence College,"Bronxville, New York",To support environmental studies,"1,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Scripps College,"Claremont, California",To support the revision and expansion of the writing program,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Skidmore College,"Saratoga Springs, New York",To support an environmental studies program,"200,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Skidmore College,"Saratoga Springs, New York",To support an initiative to connect students' academic experiences to community-based learning through internships and collaborative projects,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,"Northampton, Massachusetts",To support an Emeritus Fellowship,"47,000"
